IDIOM002	288	288	docs/site/rules/python/idiom.md
IDIOM003	289	289	docs/site/rules/python/idiom.md
IDIOM004	290	290	docs/site/rules/python/idiom.md
IDIOM005	291	291	docs/site/rules/python/idiom.md
IDIOM006	292	292	docs/site/rules/python/idiom.md
IDIOM007	293	293	docs/site/rules/python/idiom.md
IDIOM008	294	294	docs/site/rules/python/idiom.md
IDIOM009	295	295	docs/site/rules/python/idiom.md
IDIOM010	296	296	docs/site/rules/python/idiom.md
IDIOM011	297	297	docs/site/rules/python/idiom.md
IDIOM012	298	298	docs/site/rules/python/idiom.md
IDIOM013	299	299	docs/site/rules/python/idiom.md
IDIOM014	300	300	docs/site/rules/python/idiom.md
IDIOM015	301	301	docs/site/rules/python/idiom.md
IDIOM016	302	302	docs/site/rules/python/idiom.md
NIT001	310	310	docs/site/rules/python/nit.md
NIT002	311	311	docs/site/rules/python/nit.md
NIT003	312	312	docs/site/rules/python/nit.md
NIT004	313	313	docs/site/rules/python/nit.md
NIT005	314	314	docs/site/rules/python/nit.md
NIT006	315	315	docs/site/rules/python/nit.md
NIT007	316	316	docs/site/rules/python/nit.md
NIT008	317	317	docs/site/rules/python/nit.md
NIT009	318	318	docs/site/rules/python/nit.md
NIT010	319	319	docs/site/rules/python/nit.md
NIT011	320	320	docs/site/rules/python/nit.md
NIT012	321	321	docs/site/rules/python/nit.md
NIT013	322	322	docs/site/rules/python/nit.md
NIT014	323	323	docs/site/rules/python/nit.md
NIT015	324	324	docs/site/rules/python/nit.md
NIT016	325	325	docs/site/rules/python/nit.md
NIT017	326	326	docs/site/rules/python/nit.md
NIT018	327	327	docs/site/rules/python/nit.md
NIT019	328	328	docs/site/rules/python/nit.md
NIT020	329	329	docs/site/rules/python/nit.md
NIT021	330	330	docs/site/rules/python/nit.md
NIT022	331	331	docs/site/rules/python/nit.md
NIT023	332	332	docs/site/rules/python/nit.md
NIT024	333	333	docs/site/rules/python/nit.md
DRY001	341	341	docs/site/rules/python/dry.md
DRY002	342	342	docs/site/rules/python/dry.md
DRY003	343	343	docs/site/rules/python/dry.md
DRY004	344	344	docs/site/rules/python/dry.md
